"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Spain","2000","Total","April","Data tabulated by year of occurrence","Final figure, complete","2004","32196",""
"Spain","2000","Total","May","Data tabulated by year of occurrence","Final figure, complete","2004","34026",""
"Spain","2000","Total","June","Data tabulated by year of occurrence","Final figure, complete","2004","31832",""
"Spain","2000","Total","July","Data tabulated by year of occurrence","Final figure, complete","2004","33754",""
"Spain","2000","Total","August","Data tabulated by year of occurrence","Final figure, complete","2004","33666",""
"Spain","2000","Total","September","Data tabulated by year of occurrence","Final figure, complete","2004","33758",""
"Spain","2000","Total","October","Data tabulated by year of occurrence","Final figure, complete","2004","34004",""
"Spain","2000","Total","November","Data tabulated by year of occurrence","Final figure, complete","2004","33317",""
"Spain","2000","Total","December","Data tabulated by year of occurrence","Final figure, complete","2004","33780",""
"Spain","1999","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2004","380130",""
"Spain","1999","Total","January","Data tabulated by year of occurrence","Final figure, complete","2004","31002",""
"Spain","1999","Total","February","Data tabulated by year of occurrence","Final figure, complete","2004","28445",""
"Spain","1999","Total","March","Data tabulated by year of occurrence","Final figure, complete","2004","31951",""
"Spain","1999","Total","April","Data tabulated by year of occurrence","Final figure, complete","2004","31060",""
"Spain","1999","Total","May","Data tabulated by year of occurrence","Final figure, complete","2004","32332",""
"Spain","1999","Total","June","Data tabulated by year of occurrence","Final figure, complete","2004","30432",""
"Spain","1999","Total","July","Data tabulated by year of occurrence","Final figure, complete","2004","33033",""
"Spain","1999","Total","August","Data tabulated by year of occurrence","Final figure, complete","2004","32034",""
"Spain","1999","Total","September","Data tabulated by year of occurrence","Final figure, complete","2004","33310",""
"Spain","1999","Total","October","Data tabulated by year of occurrence","Final figure, complete","2004","32058",""
"Spain","1999","Total","November","Data tabulated by year of occurrence","Final figure, complete","2004","31237",""
"Spain","1999","Total","December","Data tabulated by year of occurrence","Final figure, complete","2004","33236",""
"Spain","1998","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2001","365193",""
"Spain","1998","Total","January","Data tabulated by year of occurrence","Final figure, complete","2001","30087",""
"Spain","1998","Total","February","Data tabulated by year of occurrence","Final figure, complete","2001","27517",""
"Spain","1998","Total","March","Data tabulated by year of occurrence","Final figure, complete","2001","30649",""
"Spain","1998","Total","April","Data tabulated by year of occurrence","Final figure, complete","2001","31081",""
"Spain","1998","Total","May","Data tabulated by year of occurrence","Final figure, complete","2001","31527",""
"Spain","1998","Total","June","Data tabulated by year of occurrence","Final figure, complete","2001","29411",""
"Spain","1998","Total","July","Data tabulated by year of occurrence","Final figure, complete","2001","30677",""
"Spain","1998","Total","August","Data tabulated by year of occurrence","Final figure, complete","2001","29951",""
"Spain","1998","Total","September","Data tabulated by year of occurrence","Final figure, complete","2001","32012",""
"Spain","1998","Total","October","Data tabulated by year of occurrence","Final figure, complete","2001","31277",""
"Spain","1998","Total","November","Data tabulated by year of occurrence","Final figure, complete","2001","29860",""
"Spain","1998","Total","December","Data tabulated by year of occurrence","Final figure, complete","2001","31144",""
"Spain","1997","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1999","369035",""
"Spain","1997","Total","January","Data tabulated by year of occurrence","Final figure, complete","1999","31210",""
